"time","usage"
1485838857,48.2
1485839217,46.5
1485839577,46.8
1485839937,47.1
1485840297,47.2
1485840656,47.5
1485840956,47.8
1485841256,48
1485841557,48.2
1485841916,48.4
1485842216,48.5
1485842516,48.7
1485842817,46.9
1485843117,46.8
1485843417,47.2
1485843776,47.5
1485844077,47.5
1485844377,47.1
1485844677,47.1
1485844977,47.3
1485845277,47.7
1485845636,47.9
1485845936,48
1485846237,48.2
1485846537,46.8
1485846837,47
1485847197,46.9
1485847497,47
1485847797,47.3
1485848097,47.5
1485848397,47.6
1485848697,47.4
1485849057,47.6
1485849417,47.7
1485849777,47.9
1485850077,46.4
1485850437,46.8
1485850737,46.7
1485851037,47
1485851337,47.3
1485851697,47.4
1485851997,47.6
1485852297,47.5
1485852597,47.7
1485852897,48.2
1485853197,47.8
1485853497,48
1485853797,46.5
1485854097,46.7
1485854397,47
1485854697,47.4
1485854997,47.5
1485855297,47.8
1485855597,48
1485855897,48
1485856197,47.9
1485856497,47.7
1485856797,47.8
1485857097,48
1485857456,46.6
1485857757,46.8
1485858057,47
1485858417,47
1485858717,47.5
1485859017,47.4
1485859317,47.9
1485859617,47.5
1485859917,47.7
1485860217,48
1485860517,48.1
1485860817,48.2
1485861117,47.1
1485861417,47.3
1485861717,47.4
1485862077,47.8
1485862377,47.9
1485862677,48.1
1485863036,47.6
1485863336,47.9
1485863637,48.4
1485863937,48.4
1485864237,48.6
1485864537,48.8
1485864837,47.1
1485865137,47.2
1485865437,47.4
1485865737,47.7
1485866037,48.1
1485866337,48.4
1485866637,48.1
1485866937,48
1485867237,48.3
1485867537,48.4
1485867837,48.8
1485868137,49.3
1485868437,47.2
1485868797,47.4
1485869097,47.3
1485869397,47.3
1485869697,47.8
1485869997,47.8
1485870297,48
1485870597,48.3
1485870897,48
1485871197,48.2
1485871497,48.3
1485871797,48.5
1485872097,46.9
1485872397,47.1
1485872697,47.3
1485872997,47.7
1485873297,48
1485873597,47.5
1485873897,47.9
1485874197,48.4
1485874497,48.5
1485874797,48.3
1485875097,49
1485875397,49.2
1485875697,47.9
1485875997,48.1
1485876297,48.4
1485876597,48.1
1485876897,48.3
1485877197,48.5
1485877497,48.6
1485877797,48.9
1485878097,48.4
1485878397,48.5
1485878697,48.8
1485878997,48.6
1485879297,47.3
1485879597,47.6
1485879897,47.6
1485880197,47.8
1485880497,47.8
1485880797,48
1485881097,48.1
1485881397,48.5
1485881697,48.6
1485881997,48.7
1485882297,49.1
1485882597,48.6
1485882897,47.2
1485883197,47.3
1485883497,47.5
1485883797,47.4
1485884097,47.6
1485884397,47.9
1485884697,48
1485884997,48.2
1485885297,48.5
1485885597,48.8
1485885897,48.9
1485886197,49
1485886497,47.6
1485886797,47.9
1485887097,47.9
1485887397,48.1
1485887697,48.3
1485887997,47.9
1485888297,48
1485888597,48.2
1485888897,48.4
1485889198,48.4
1485889557,48.5
1485889857,48.7
1485890157,47.6
1485890457,47.6
1485890757,47.8
1485891057,47.9
1485891357,48.1
1485891657,48.2
1485891957,48.4
1485892257,48.4
1485892557,48.4
1485892857,48.6
1485893158,49
1485893517,48.5
1485893817,47
1485894117,47.3
1485894417,47.5
1485894717,47.8
1485895017,48
1485895317,48.2
1485895617,48.3
1485895917,48.4
1485896217,48.5
1485896517,48.7
1485896817,48.9
1485897117,49
1485897417,47.6
1485897717,47.7
1485898017,47.9
1485898317,48
1485898617,48.2
1485898917,47.8
1485899217,47.9
1485899517,48.1
1485899817,48.3
1485900117,48.5
1485900417,48.7
1485900717,48.8
1485901018,47.6
1485901318,47.6
1485901678,47.8
1485901978,48
1485902278,48.1
1485902637,48.4
1485902937,48.5
1485903237,48.6
1485903537,48.7
1485903837,49
1485904137,49.3
1485904437,49.5
1485904737,47.7
1485905037,47.8
1485905338,47.9
1485905697,48.1
1485905997,48.1
1485906297,48.3
1485906597,48.4
1485906897,48.6
1485907197,48.7
1485907497,48.9
1485907797,49.2
1485908097,49.4
1485908397,47.9
1485908697,48.2
1485908997,48.3
1485909297,48.6
1485909597,48.8
1485909898,49
1485910257,49.2
1485910557,48.8
1485910857,49.1
1485911158,49.2
1485911517,49.2
1485911817,49.1
1485912117,48
1485912417,48.1
1485912717,48.2
1485913017,48.4
1485913317,48.4
1485913617,48.5
1485913917,48.6
1485914218,48.9
1485914577,49.2
1485914877,49.2
1485915177,49.4
1485915478,48.2
1485915838,48.4
1485916138,47.9
1485916438,48.1
1485916798,48.4
1485917098,48.5
1485917398,48.6
1485917758,48.8
1485918118,49.1
1485918477,49.2
1485919069,48.3
1485919369,46.8
1485919669,47
1485919970,47.2
1485920330,47.4
1485920630,47.7
1485920990,47.7
1485921290,47.7
1485921649,47.4
1485921949,47.5
1485922250,47.7
1485922550,47.9
1485922910,46.4
1485923270,46.6
1485923570,46.9
1485923870,47
1485924170,47
1485924470,47.3
1485924770,46.9
1485925070,47
1485925370,47.1
1485925670,47.3
1485926029,47.6
1485926330,47.6
1485926690,46.2
1485927050,45.9
1485927350,46.2
1485927650,46.2
1485928009,46.5
1485928309,46.5
1485928610,46.6
1485928910,46.8
1485929210,46.9
1485929510,47.1
1485929810,47.2
1485930169,46.1
1485930469,46.4
1485930769,46.5
1485931069,46.6
1485931369,46.8
1485931669,47.1
1485931969,47.3
1485932269,47.4
1485932569,47
1485932870,47.2
1485933170,47.3
1485933529,47.6
1485933829,46.2
1485934130,46.4
1485934430,46.6
1485934730,46.7
1485935090,47
1485935449,47.1
1485935749,47.1
1485936049,47.3
1485936350,47.5
1485936650,47.7
1485936950,47.5
1485937250,46.6
1485937550,46.4
1485937850,46.6
1485938210,46.7
1485938570,47.1
1485938929,47.4
1485939230,47.5
1485939530,47.2
1485939890,47.8
1485940250,47.8
1485940550,47.9
1485940850,48.1
1485941150,46.6
1485941450,46.9
1485941750,47.1
1485942050,46.8
1485942350,47.1
1485942650,47.2
1485942950,47.5
1485943250,47.5
1485943550,47.8
1485943850,48.1
1485944150,48.2
1485944450,48.3
1485944750,46.9
1485945050,47
1485945409,47.1
1485945710,47.2
1485946010,47.5
1485946369,47.7
1485946670,47.9
1485947030,48.2
1485947330,48.3
1485947690,48.5
1485947990,48.9
1485948290,47.3
1485948590,47.6
1485948950,47.2
1485949250,47.4
1485949550,47.6
1485949850,47.8
1485950210,47.9
1485950570,48.3
1485950870,48.3
1485951230,48.6
